2020-03-21 20:59:05,618 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="1d0457d6-75bc-475d-89d1-cfa1bcb0bc8c")>
2020-03-21 21:07:46,805 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 21:07:46,805 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 21:07:57,444 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="7125675a-fa4b-4323-8b06-a6efa1cd5b55")>
2020-03-21 21:07:57,445 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt@qq.com,密码:
2020-03-21 21:07:57,445 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com操作
2020-03-21 21:07:57,445 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 21:07:57,454 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 21:07:57,460 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 21:07:57,523 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：操作
2020-03-21 21:07:57,523 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 21:07:57,533 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 21:07:57,542 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 21:07:57,555 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 21:07:57,555 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 21:07:57,791 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 21:07:57,792 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 21:08:08,898 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="e105b181-1f41-4de2-bad1-7513b24e8763")>
2020-03-21 21:08:08,898 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt@qq.com1,密码:123456
2020-03-21 21:08:08,899 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com1操作
2020-03-21 21:08:08,899 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 21:08:08,915 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 21:08:08,953 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 21:08:08,999 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：123456操作
2020-03-21 21:08:09,000 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 21:08:09,011 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 21:08:09,021 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 21:08:09,056 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 21:08:09,056 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 21:08:09,293 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 21:08:09,293 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 21:08:21,362 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="b9fa71f4-d8ea-4e0f-b03c-c734148c5f84")>
2020-03-21 21:08:21,363 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt@qq.com,密码:1234567
2020-03-21 21:08:21,363 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com操作
2020-03-21 21:08:21,363 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 21:08:21,379 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 21:08:21,424 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 21:08:21,456 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：1234567操作
2020-03-21 21:08:21,457 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 21:08:21,470 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 21:08:21,475 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 21:08:21,501 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 21:08:21,501 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 21:08:21,735 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 21:08:21,735 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 21:08:33,571 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="4aefd378-6427-44c8-80b5-11e8ca55b014")>
2020-03-21 21:08:33,572 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt1@qq.com,密码:123456
2020-03-21 21:08:33,573 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt1@qq.com操作
2020-03-21 21:08:33,573 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 21:08:33,589 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 21:08:33,600 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 21:08:33,739 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：123456操作
2020-03-21 21:08:33,739 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 21:08:33,752 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 21:08:33,755 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 21:08:33,801 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 21:08:33,801 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 21:08:34,049 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 21:08:34,049 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 21:08:45,974 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="a3f3f565-9719-4ba9-bbc4-007e134e8403")>
2020-03-21 21:08:45,974 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="a3f3f565-9719-4ba9-bbc4-007e134e8403")>
2020-03-21 21:08:45,974 INFO [root] [page_login.py (page_login_success:66] - [page_login]正在执行组合登录业务方法，给登录成功后的admin平台其他操作依赖登录使用，用户名:ztt@qq.com,密码:123456
2020-03-21 21:08:45,974 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com操作
2020-03-21 21:08:45,974 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 21:08:45,980 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 21:08:46,054 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 21:08:46,104 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：123456操作
2020-03-21 21:08:46,104 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 21:08:46,117 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 21:08:46,121 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 21:08:46,150 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 21:08:46,150 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 21:08:46,385 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'li.template-submenu:nth-child(2) > div:nth-child(1) > i:nth-child(3)')，默认时间:30
2020-03-21 21:08:52,388 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.search_head:nth-child(3) > div:nth-child(1) > div:nth-child(2) > input:nth-child(3)')，默认时间:30
2020-03-21 21:08:52,401 INFO [root] [base.py (base_input:35] - [base]:正在对:('css selector', 'div.search_head:nth-child(3) > div:nth-child(1) > div:nth-child(2) > input:nth-child(3)')元素实行清空操作
2020-03-21 21:08:52,405 INFO [root] [base.py (base_input:38] - [base]:正在对:('css selector', 'div.search_head:nth-child(3) > div:nth-child(1) > div:nth-child(2) > input:nth-child(3)')元素实行输入操作
2020-03-21 21:08:55,515 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.search_head:nth-child(3) > div:nth-child(1) > div:nth-child(2) > input:nth-child(3)')，默认时间:30
2020-03-21 21:08:58,675 INFO [root] [base.py (base_click:27] - [base]:正在对:('css selector', "[type='checkbox']")元素实行点击操作
2020-03-21 21:08:58,675 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', "[type='checkbox']")，默认时间:30
2020-03-21 21:09:01,935 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[text()='COD Setting']")元素实行点击操作
2020-03-21 21:09:01,935 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[text()='COD Setting']")，默认时间:30
2020-03-21 21:09:05,267 INFO [root] [base.py (base_click:27] - [base]:正在对:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(1) > form:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > span:nth-child(1)')元素实行点击操作
2020-03-21 21:09:05,267 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(1) > form:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > span:nth-child(1)')，默认时间:30
2020-03-21 21:09:08,487 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'body > div:nth-child(14) > div.ivu-modal-wrap.vertical-center-modal > div > div > div.ivu-modal-body > div > div:nth-child(1) > form > div > div > div > div.ivu-select-dropdown > ul.ivu-select-dropdown-list > li:nth-child(1)')，默认时间:30
2020-03-21 21:09:11,815 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > input:nth-child(2)')，默认时间:30
2020-03-21 21:09:11,818 INFO [root] [base.py (base_input:35] - [base]:正在对:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > input:nth-child(2)')元素实行清空操作
2020-03-21 21:09:11,821 INFO [root] [base.py (base_input:38] - [base]:正在对:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > input:nth-child(2)')元素实行输入操作
2020-03-21 21:09:14,909 INFO [root] [base.py (base_click:27] - [base]:正在对:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > button:nth-child(1)')元素实行点击操作
2020-03-21 21:09:14,909 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.v-transfer-dom:nth-child(14) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > button:nth-child(1)')，默认时间:30
2020-03-21 21:09:18,131 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@id='product_scroll']/div/div[2]/ul/li[11]/p")元素实行点击操作
2020-03-21 21:09:18,131 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@id='product_scroll']/div/div[2]/ul/li[11]/p")，默认时间:30
2020-03-21 21:09:21,350 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', 'div.basic:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > p:nth-child(1)')元素实行获取文本操作
2020-03-21 21:09:21,351 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', 'div.basic:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > p:nth-child(1)')，默认时间:30
